//,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
//,[PK] Category Label,Main label,Main label string,Sub label,Sub label string,Name Label string,,,Pattern Sequence,Sequence Grouping Label,Series,Pattern Full Label,[FK] Sequence Term: Category Label,Sequence Terms,Sequence Term Minimum Density (0-1),Sequence Term Maximum Density (0-1),Sequence Term Minimum Terms,Sequence Term Maximum Terms,Duplicates Allowed,,,,,Notes
,Booker7Plots,Overcoming the Monster,overcomemonster,With recovery,normal_recovery,Booker7Plots_overcomemonster_normal_recovery,,,1,Booker7Plots_overcomemonster_normal_recovery_01,1,Booker7Plots_overcomemonster_normal_recovery_01_1_Monsters1,Monsters1,6,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Monster,overcomemonster,With recovery,normal_recovery,Booker7Plots_overcomemonster_normal_recovery,,,1,Booker7Plots_overcomemonster_normal_recovery_01,2,Booker7Plots_overcomemonster_normal_recovery_01_2_StruggleMonster1,StruggleMonster1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Monster,overcomemonster,With recovery,normal_recovery,Booker7Plots_overcomemonster_normal_recovery,,,1,Booker7Plots_overcomemonster_normal_recovery_01,3,Booker7Plots_overcomemonster_normal_recovery_01_3_Recovery1,Recovery1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Monster,overcomemonster,With recovery,normal_recovery,Booker7Plots_overcomemonster_normal_recovery,,,1,Booker7Plots_overcomemonster_normal_recovery_01,4,Booker7Plots_overcomemonster_normal_recovery_01_4_VictoryAgainstMonster1,VictoryAgainstMonster1,4,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Monster,overcomemonster,With recovery,normal_recovery,Booker7Plots_overcomemonster_normal_recovery,,,1,Booker7Plots_overcomemonster_normal_recovery_01,5,Booker7Plots_overcomemonster_normal_recovery_01_5_HeroReward1,HeroReward1,4,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Monster,overcomemonster,,normal,Booker7Plots_overcomemonster_normal,,,1,Booker7Plots_overcomemonster_normal_01,1,Booker7Plots_overcomemonster_normal_01_1_Monsters1,Monsters1,6,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Monster,overcomemonster,,normal,Booker7Plots_overcomemonster_normal,,,1,Booker7Plots_overcomemonster_normal_01,2,Booker7Plots_overcomemonster_normal_01_2_StruggleMonster1,StruggleMonster1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Monster,overcomemonster,,normal,Booker7Plots_overcomemonster_normal,,,1,Booker7Plots_overcomemonster_normal_01,3,Booker7Plots_overcomemonster_normal_01_3_Monsters1,Monsters1,6,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Monster,overcomemonster,,normal,Booker7Plots_overcomemonster_normal,,,1,Booker7Plots_overcomemonster_normal_01,4,Booker7Plots_overcomemonster_normal_01_4_StruggleMonster1,StruggleMonster1,3,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Monster,overcomemonster,,normal,Booker7Plots_overcomemonster_normal,,,1,Booker7Plots_overcomemonster_normal_01,5,Booker7Plots_overcomemonster_normal_01_5_VictoryAgainstMonster1,VictoryAgainstMonster1,4,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Monster,overcomemonster,,normal,Booker7Plots_overcomemonster_normal,,,1,Booker7Plots_overcomemonster_normal_01,6,Booker7Plots_overcomemonster_normal_01_6_HeroReward1,HeroReward1,4,,,1,1,TRUE,,,,,
,Booker7Plots,Overcoming the Villain,overcomevillain,With recovery,normal_recovery,Booker7Plots_overcomevillain_normal_recovery,,,1,Booker7Plots_overcomevillain_normal_recovery_01,1,Booker7Plots_overcomevillain_normal_recovery_01_1_Villainy1,Villainy1,5,,,1,1,TRUE,,,,,
